id,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
North America,112.06,118.7162,140.7847,190.13275,237.7285,276.67476,379.94628,494.2271,676.27757,768.49596,888.303
Bermuda,0,0,0,0,0,0,0,0,0,0,0
Canada,4.5,4.5,4.5,4.9,4.9,6,5.4,21.6,25.7,27.81,34.2
Greenland,0,0,0,0,0,0,0,0,0,0,0
Mexico,0,0,0,0,0,0,0,0.1,0.1,0.103,0.4
Saint Pierre and Miquelon,0,0,0,0,0,0,0,0,0,0,0
United States,107.56,114.2162,136.2847,185.23275,232.8285,270.67476,374.54628,472.5271,650.47757,740.58296,853.703
Central & South America,168.09489,142.59798,161.38807,145.33577,178.31824,184.3888,201.67622,275.60815,364.37384,438.07631,455.46686
Antarctica,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,0
Argentina,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.55,11.9
Aruba,0,0,0,0,0,0,0,0,0,0,0
"Bahamas, The",0,0,0,0,0,0,0,0,0,0,0
Barbados,0,0,0,0,0,0,0.0003,0.0003,0.001,0.001,0.001
Belize,0,0,0,0,0,0,0,0,0,0,0
Bolivia,0,0,0,0,0,0,0,0,0,0,0
Brazil,166.85489,141.37798,160.16807,144.01577,177.11824,181.9578,195.22592,268.47785,355.65284,420.26531,424.33586
Cayman Islands,0,0,0,0,0,0,0,0,0,0,0
Chile,0,0,0,0,0,0,0,0,0,0,0
Colombia,0,0,0,0,0,0.5,4.6,4.8,5.8,11.3,12
Costa Rica,0,0,0,0,0,0,0,0.05,0.05,0.5,0.5
Cuba,1.1,1,1,1.1,1,1,0.7,0.4,0.3,0.3,0.3
Dominica,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic,0,0,0,0,0,0,0,0,0,0,0
Ecuador,0,0,0,0,0,0,0,0,0,0,0.2
El Salvador,0,0,0,0,0,0,0,0,0,0,0
Falkland Islands (Islas Malvinas),0,0,0,0,0,0,0,0,0,0,0
French Guiana,0,0,0,0,0,0,0,0,0,0,0
Grenada,0,0,0,0,0,0,0,0,0,0,0
Guadeloupe,0,0,0,0,0,0,0,0,0,0,0
Guatemala,0,0,0,0,0,0,0,0,0,0.01,0.01
Guyana,0,0,0,0,0,0,0,0,0,0,0
Haiti,0,0,0,0,0,0,0,0,0,0,0
Honduras,0,0,0,0,0,0.001,0.01,0.02,0.02,0.01,0.02
Jamaica,0,0,0,0,0,0,0,0,0.1,1,1
Martinique,0,0,0,0,0,0,0,0,0,0,0
Montserrat,0,0,0,0,0,0,0,0,0,0,0
Netherlands Antilles,0,0,0,0,0,0,0,0,0,0,0
Nicaragua,0,0,0,0,0,0,0,0,0,0,0
Panama,0,0,0,0,0,0,0,0,0,0,0
Paraguay,0.04,0.02,0.02,0.02,0,0.6,0.8,1.1,1.6,2,2.4
Peru,0,0,0,0,0,0,0,0.4,0.5,2,2.5
Puerto Rico,0,0,0,0,0,0,0,0,0,0,0
Saint Kitts and Nevis,0,0,0,0,0,0,0,0,0,0,0
Saint Lucia,0,0,0,0,0,0,0,0,0,0,0
Saint Vincent/Grenadines,0,0,0,0,0,0,0,0,0,0,0
Suriname,0,0,0,0,0,0,0,0,0,0,0
Trinidad and Tobago,0,0,0,0,0,0,0,0,0,0,0
Turks and Caicos Islands,0,0,0,0,0,0,0,0,0,0,0
Uruguay,0,0,0,0,0,0.03,0.04,0.06,0.05,0.14,0.3
Venezuela,0,0,0,0,0,0,0,0,0,0,0
"Virgin Islands,  U.S.",0,0,0,0,0,0,0,0,0,0,0
"Virgin Islands, British",0,0,0,0,0,0,0,0,0,0,0
Europe,16.3,18.72,25.76,33.96,48.17,72.5093,123.021,173.386,238.18,292.545,329.635
Albania,0,0,0,0,0,0,0,0,0,0,0
